mode,year,ret,premium,med_prem,no_write,weeks,assigned,pnl_sh,pnl_c,pnl_p
"base — re-strike weekly, hold the put (the rule)",2022,-39.70876807876566,142660.0,4.745173211643349,0,52,20,-88753.0,9082.999999999998,41972.831921234334
"base — re-strike weekly, hold the put (the rule)",2023,-16.567748373770144,171750.0,3.271295139466485,0,52,23,113894.00000000001,-62670.000000000015,-64495.14837377015
"base — re-strike weekly, hold the put (the rule)",2024,-33.52815164404295,145636.96670787546,3.870967741935484,0,53,25,9778.99999999997,-15859.033292124512,-26196.668351918448
"base — re-strike weekly, hold the put (the rule)",2025,-37.61822200960031,116971.24535668042,3.9095907147220528,0,53,25,-16940.0,9487.245356680452,-28750.067366280717
"base — re-strike weekly, hold the put (the rule)",2026,-11.368199999999973,121009.0,5.011403308792304,0,27,15,106157.00000000006,-62172.000000000015,-54935.0
sticky strike only,2022,-50.844991446532006,26586.646131871184,0.18930430667297682,13,52,5,-100926.0,8057.64613187119,43115.31242159682
sticky strike only,2023,38.27825450950547,92322.0,1.4521984671238404,11,52,10,132173.0,-18213.00000000003,-73069.44549049456
sticky strike only,2024,-23.057096473966368,75896.0,1.1896178803172315,2,53,8,-2624.9999999999854,5194.999999999998,-24516.796473966348
sticky strike only,2025,5.7433106345214355,55740.03029873074,0.8897213767267619,8,53,8,25931.0,17688.03029873073,-36657.76966420929
sticky strike only,2026,18.432700000000025,115025.0,4.583598113061292,0,27,13,134017.00000000003,-53865.000000000015,-61290.0
sell the put when flat only,2022,-35.09211239062252,136696.0,4.745173211643349,0,52,20,-76176.0,2124.000000000002,41715.03760937747
sell the put when flat only,2023,-24.318154256975703,146214.0,3.271295139466485,0,52,23,105864.99999999999,-57090.000000000015,-68984.70425697575
sell the put when flat only,2024,-31.53112494114899,143552.57395604398,3.870967741935484,0,53,25,12288.999999999978,-15434.426043956006,-26588.748897193025
sell the put when flat only,2025,-8.556750285338609,154416.82368507877,3.9095907147220528,0,53,25,6685.0,7799.823685078827,-20183.873970417484
sell the put when flat only,2026,-12.92219956270884,97820.0,5.011403308792304,0,27,15,96121.00000000003,-58883.00000000001,-49616.949562708905
sticky + sell the put when flat,2022,-44.99104636883571,27379.646131871184,0.18930430667297682,13,52,3,-94404.0,459.64613187119176,50213.80749929311
sticky + sell the put when flat,2023,20.320322865757504,75308.0,1.4521984671238404,11,52,10,121003.0,-18701.00000000003,-79096.97713424248
sticky + sell the put when flat,2024,-9.874914938020751,67005.0,1.1896178803172315,2,53,8,3953.0000000000146,1474.999999999999,-14172.464938020801
sticky + sell the put when flat,2025,55.513828677061156,36643.545448096105,0.11194029850746268,12,53,1,55178.0,33915.54544809611,-32413.916771034954
sticky + sell the put when flat,2026,15.125715853985895,79413.0,4.583598113061292,0,27,13,118505.00000000006,-45275.00000000001,-57611.68414601413
